	Ημ/νία	Τελευταία	’νοιγμα	Υψηλό	Χαμηλό	Όγκος	Αλλ.%
181	13.02.2023	2,9057	2,87	2,9223	2,8188	38250	-2,37%
180	14.02.2023	2,9401	2,8862	2,9496	2,8524	40020	-3,85%
179	15.02.2023	2,8444	2,9179	2,93	2,802	33750	3,59%
178	16.02.2023	2,8108	2,8444	2,8874	2,7816	24410	-1,35%
177	17.02.2023	2,7121	2,795	2,7965	2,6577	34780	-1,39%
176	19.02.2023	2,7368	2,7396	2,7399	2,7305		-0,26%
175	20.02.2023	2,7534	2,7367	2,7817	2,7182		2,90%
174	21.02.2023	2,7919	2,7306	2,82	2,6935	34040	5,17%
173	22.02.2023	2,7018	2,7728	2,7882	2,6869	48480	-1,58%
172	23.02.2023	2,6908	2,6875	2,7288	2,6517	65050	3,74%
171	24.02.2023	2,7671	2,703	2,7795	2,6662	52300	-2,20%
170	27.02.2023	2,8198	2,8006	2,84	2,7779	18220	-1,21%
169	28.02.2023	2,8209	2,8199	2,8613	2,7947	3550	-0,50%
168	01.03.2023	2,8738	2,7982	2,8753	2,792	44210	1,44%
167	02.03.2023	2,8662	2,8718	2,9107	2,8382	56680	-0,41%
166	03.03.2023	2,9131	2,8527	2,9198	2,8005	43770	0,87%
165	06.03.2023	2,8866	2,9099	2,91	2,831	40500	1,82%
164	07.03.2023	2,7975	2,8894	2,9065	2,7742	49750	2,44%
163	08.03.2023	2,7419	2,7842	2,8058	2,7168	56160	-0,93%
162	09.03.2023	2,6689	2,7331	2,78	2,6647	55820	-3,73%
161	10.03.2023	2,7729	2,6664	2,7923	2,6294	56650	0,00%
160	13.03.2023	2,7615	2,7792	2,808	2,6456	60540	0,98%
159	14.03.2023	2,7144	2,7704	2,796	2,7017	45560	-2,80%
158	15.03.2023	2,5065	2,635	2,66	2,4469	50920	2,20%
157	16.03.2023	2,5358	2,5162	2,5467	2,4238	46450	-0,20%
156	17.03.2023	2,5472	2,53	2,6102	2,5038	52180	0,18%
155	20.03.2023	2,5578	2,54	2,5718	2,4575	45130	-1,68%
154	21.03.2023	2,5729	2,5571	2,5793	2,5112	48040	-0,83%
153	22.03.2023	2,6063	2,5709	2,6374	2,5438	61320	2,48%
152	23.03.2023	2,6847	2,715	2,7581	2,6724	35000	-0,59%
151	24.03.2023	2,6952	2,6847	2,725	2,6188	27640	3,14%
150	27.03.2023	2,7704	2,715	2,7767	2,6819	34890	-1,87%
149	28.03.2023	2,7696	2,7647	2,8073	2,7407	25710	-1,83%
148	29.03.2023	2,6581	2,7581	2,7666	2,6416	21740	0,13%
147	30.03.2023	2,6237	2,6498	2,6823	2,621	14290	0,53%
146	31.03.2023	2,6763	2,64	2,683	2,6286	3000	2,72%
145	03.04.2023	2,6626	2,7235	2,7642	2,6509	57120	3,39%
144	04.04.2023	2,6667	2,6697	2,7013	2,6092	55350	0,29%
143	05.04.2023	2,731	2,69	2,7399	2,6561	69650	-2,49%
142	06.04.2023	2,6605	2,7325	2,7348	2,6564	71200	-3,91%
141	10.04.2023	2,6814	2,6658	2,7036	2,6396	48250	0,15%
140	11.04.2023	2,6682	2,6825	2,7057	2,6275	53730	1,04%
139	12.04.2023	2,7031	2,6679	2,7234	2,6489	46920	-0,79%
138	13.04.2023	2,6728	2,7016	2,7141	2,6636	38350	-3,19%
137	14.04.2023	2,6392	2,6838	2,6851	2,632	51690	-3,16%
136	17.04.2023	2,6147	2,6464	2,6512	2,5838	43510	1,70%
135	18.04.2023	2,5999	2,6244	2,629	2,5798	36630	-0,25%
134	19.04.2023	2,5577	2,599	2,6019	2,5457	22380	-2,46%
133	20.04.2023	2,4949	2,5525	2,5525	2,4712	23900	-1,62%
132	21.04.2023	2,4886	2,4917	2,522	2,4777	23050	-0,57%
131	24.04.2023	2,531	2,5042	2,5436	2,4618	27140	-0,93%
130	25.04.2023	2,4511	2,5246	2,5465	2,4482	22920	-1,26%
129	26.04.2023	2,373	2,451	2,4695	2,3696	13430	-1,12%
128	27.04.2023	2,3542	2,3715	2,3881	2,3351	13980	1,31%
127	28.04.2023	2,3787	2,3535	2,3935	2,332	3160	-0,49%
126	01.05.2023	2,3823	2,3722	2,3896	2,3268	41470	0,79%
125	02.05.2023	2,2892	2,3818	2,3974	2,2714	58370	-2,58%
124	03.05.2023	2,2323	2,295	2,2979	2,2046	54230	2,41%
123	04.05.2023	2,2387	2,2102	2,2695	2,15	44160	0,15%
122	05.05.2023	2,3147	2,2409	2,3258	2,2307	40370	-0,51%
121	08.05.2023	2,3777	2,3147	2,3845	2,3147	38530	2,00%
120	09.05.2023	2,3902	2,3639	2,3936	2,322	34710	-1,29%
119	10.05.2023	2,3934	2,3948	2,408	2,3644	48940	-4,03%
118	11.05.2023	2,3495	2,3935	2,4233	2,344	40240	-0,03%
117	12.05.2023	2,3055	2,3588	2,3617	2,301	38420	2,79%
116	15.05.2023	2,378	2,305	2,3865	2,2812	48220	0,39%
115	16.05.2023	2,3639	2,3802	2,3965	2,3436	39510	3,01%
114	17.05.2023	2,4226	2,3603	2,4311	2,3428	37640	1,30%
113	18.05.2023	2,4026	2,4227	2,4251	2,3768	29800	0,59%
112	19.05.2023	2,3622	2,4094	2,4481	2,355	36210	0,42%
111	22.05.2023	2,3664	2,3669	2,3814	2,3317	20450	0,45%
110	23.05.2023	2,3617	2,3703	2,4054	2,3567	21530	1,17%
109	24.05.2023	2,4137	2,3774	2,42	2,375	22690	-7,66%
108	25.05.2023	2,3462	2,409	2,4131	2,3183	16620	-1,71%
107	26.05.2023	2,3693	2,3413	2,3913	2,3312	20730	-0,41%
106	29.05.2023	2,3692	2,3635	2,3635	2,3385	380	3,90%
105	30.05.2023	2,2808	2,3838	2,3874	2,275	19230	-2,66%
104	31.05.2023	2,2596	2,2652	2,2879	2,2367	2890	-1,99%
103	01.06.2023	2,3147	2,24	2,3358	2,2352	53590	-3,09%
102	02.06.2023	2,3569	2,3174	2,3797	2,3115	52560	-0,91%
101	05.06.2023	2,3775	2,41	2,4286	2,3648	43930	1,64%
100	06.06.2023	2,3678	2,3745	2,3828	2,3279	37280	-0,26%
99	07.06.2023	2,4018	2,36	2,4137	2,342	56310	1,88%
98	08.06.2023	2,3898	2,4042	2,4263	2,3174	55620	0,04%
97	09.06.2023	2,361	2,3828	2,403	2,3593	39420	1,90%
96	12.06.2023	2,3091	2,3607	2,3607	2,297	49800	2,84%
95	13.06.2023	2,3955	2,3147	2,4088	2,3118	48300	-0,41%
